,index,filename,label,class_encoding,weights,prediction,predicted_letter,raw_pred_ain,raw_pred_ale,raw_pred_bet,raw_pred_dal,raw_pred_gim,raw_pred_het,raw_pred_hey,raw_pred_kaf,raw_pred_kuf,raw_pred_lam,raw_pred_mem,raw_pred_nun,raw_pred_pey,raw_pred_rey,raw_pred_sam,raw_pred_shi,raw_pred_taf,raw_pred_tet,raw_pred_tza,raw_pred_vav,raw_pred_yud,raw_pred_zay
10,10,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\mem.JPG,mem,[12],1,12,pey,9.757221e-05,3.8170506e-06,1.6130442e-06,7.938114e-08,6.1639475e-06,8.933415e-06,2.463087e-06,1.3110141e-06,5.1574752e-06,5.7780376e-06,6.314579e-07,2.703944e-06,0.99671304,0.003097302,2.8441134e-06,2.7170652e-06,2.656028e-06,2.143853e-05,1.7521589e-06,6.546868e-06,1.3987486e-07,1.5401032e-05
11,11,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\nun.JPG,nun,[13],1,13,rey,2.4985372e-06,1.2965249e-07,5.186634e-07,4.249293e-07,5.5431065e-07,2.3420435e-07,1.3485886e-06,5.319208e-06,6.887818e-07,3.066619e-06,4.051662e-07,1.9786933e-06,6.407095e-05,0.9998969,4.80006e-07,2.300336e-06,2.733654e-07,6.4392934e-06,5.750209e-07,3.2916824e-07,5.5957077e-08,1.12336575e-05
12,12,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\pey.JPG,pey,[16],1,16,taf,2.4690013e-05,2.625679e-06,0.0008615948,0.00017425975,0.0042475257,1.6767557e-06,6.31167e-06,1.5891032e-06,4.115043e-05,4.1912713e-06,6.598637e-05,2.1897182e-05,7.320695e-06,6.2876634e-06,2.6136022e-06,1.8138611e-06,0.9944536,5.235404e-06,4.8254195e-05,7.941925e-06,2.6269488e-06,1.0763311e-05
13,13,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\rey.JPG,rey,[19],1,19,vav,1.0372323e-06,7.133415e-06,1.8215073e-06,2.5713092e-07,2.5422642e-07,4.621939e-05,4.979126e-05,3.7115396e-06,1.1589816e-06,3.1006848e-06,7.985454e-07,1.627881e-07,2.0032282e-06,5.5777363e-08,1.6425696e-05,2.143643e-05,1.5418664e-06,1.845574e-07,2.1946013e-07,0.9997682,7.386986e-05,5.7942316e-07
14,14,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\sam.JPG,sam,[14],1,14,sam,2.127529e-05,9.445941e-06,1.9649133e-06,1.6217688e-06,1.6139299e-07,1.6472104e-06,2.6763933e-06,2.575732e-07,4.2588213e-06,8.638959e-06,2.2564748e-07,1.1080621e-07,3.6645317e-05,1.7157772e-06,0.9998902,5.248075e-06,6.006035e-07,1.8711928e-06,5.3570325e-08,1.9174731e-06,4.433494e-06,4.9762325e-06
15,15,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\shi.JPG,shi,[20],1,20,yud,3.4244872e-06,0.0046116356,1.9593515e-06,4.2202672e-07,1.5797209e-06,9.639397e-07,4.1436338e-06,2.696255e-06,9.475054e-06,9.087533e-07,4.067131e-07,6.518769e-08,1.0329352e-06,6.868073e-07,2.3127672e-05,2.1726446e-06,3.317206e-06,1.1231165e-06,4.6568024e-07,8.5935534e-07,0.9953271,2.371582e-06
16,16,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\taf.JPG,taf,[21],1,21,zay,1.1377274e-05,1.6751452e-06,1.1845423e-06,6.901084e-07,2.3953174e-07,1.710474e-05,8.044201e-06,1.0763607e-06,1.7925971e-07,1.1389541e-05,2.0107215e-07,1.6956335e-06,3.159447e-05,1.8598201e-06,5.2179e-06,2.5450623e-07,8.232667e-07,3.1736886e-07,1.1063917e-06,2.1440824e-06,1.5557306e-06,0.9999002
17,17,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\tet.JPG,tet,[8],1,8,kuf,2.8078653e-06,2.9769704e-05,1.3479236e-06,2.6102947e-05,8.041132e-07,3.060836e-06,3.0762652e-07,3.6309002e-06,0.99988425,1.3412646e-06,1.4564831e-06,8.732484e-06,1.3893259e-06,3.2433232e-07,5.9634413e-06,1.0627821e-05,2.028925e-07,1.393672e-06,9.689975e-06,2.5312053e-07,3.4858135e-06,3.13607e-06
18,18,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\tza.JPG,tza,[17],1,17,tet,4.889905e-06,1.501323e-06,0.00022518537,5.5431715e-06,9.331968e-07,9.340294e-07,1.0339019e-06,4.9407307e-05,9.337849e-06,3.3397444e-07,1.4970102e-05,0.0007976867,1.1618288e-06,1.5485171e-05,8.237656e-07,1.0999559e-05,5.8528963e-06,0.9988263,1.682821e-05,2.75509e-06,7.200401e-06,9.2640545e-07
19,19,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\vav.JPG,vav,[5],1,5,het,2.4229154e-08,4.376307e-09,2.9429831e-08,1.2092824e-08,2.148426e-09,0.9999963,5.084052e-07,2.5540533e-07,1.8452239e-07,6.935674e-07,1.3155911e-08,5.981982e-07,1.4176422e-08,4.6365592e-10,6.662531e-08,8.880796e-08,5.8812505e-10,1.544322e-09,3.8669032e-10,1.1809417e-06,1.9569638e-08,1.255477e-09
20,20,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\yud.JPG,yud,[9],1,9,lam,1.2548667e-06,9.0099365e-07,9.618947e-07,1.908759e-06,2.8146118e-07,9.13096e-07,1.008568e-07,1.293895e-05,8.320477e-06,0.9999443,2.2280364e-07,4.570034e-07,2.3728138e-07,1.4085188e-07,1.0072751e-05,1.9603121e-06,8.920189e-07,6.015228e-07,2.5297875e-06,9.777456e-06,5.7805147e-07,5.298219e-07
21,21,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\zay.JPG,zay,[6],1,6,hey,5.265218e-06,5.4237976e-06,3.2579766e-05,0.0002646973,8.9956775e-06,7.676663e-05,0.9987072,1.3023179e-05,3.1923944e-05,6.802412e-05,8.806556e-06,2.1279462e-05,7.750944e-06,3.7233121e-06,3.537352e-06,1.0681089e-06,2.3678045e-05,1.4543059e-05,0.0006317305,5.3297048e-05,7.611988e-06,9.136154e-06
